,keyword,importance,total_importance
0,"refund, refund process, refundable shipping, refunded, - refundable shipping fee",0.5067-0.4976-0.4928-0.454-0.4487,2.4
1,"carvana warranty, carvana warranty part, wrong vin number, carvana, rr rotor",0.5818-0.5531-0.4236-0.4106-0.4099,2.38
2,"exchange car, car delivered, carvana denied, carvana today, carvana",0.533-0.5172-0.4885-0.4374-0.4313,2.41
3,"refund, purchase vehicle, vehicle carvana, funds hostage, return",0.4976-0.3532-0.3435-0.3427-0.3117,1.85
4,"car carvana, carvana, registration, registration information, bought car",0.576-0.4997-0.4915-0.4867-0.4012,2.46
5,"purchase car, carvana, bank statements, income proof, short deadline",0.3482-0.3452-0.328-0.3022-0.2837,1.61
6,"car carvana, day money back guarantee, back guarantee, carvana, guarantee",0.5566-0.4695-0.4646-0.4485-0.4037,2.34
7,"car loan, car purchase, refund, loan, carvana",0.4218-0.3831-0.3188-0.2792-0.2586,1.66
8,"transaction, funds processing, carvana error, deposit, bank",0.4522-0.4436-0.4282-0.408-0.3918,2.12
9,"150pt inspection, vehicle carvana, purchased vehicle, inspection, warranty",0.5408-0.5243-0.4976-0.4315-0.4153,2.41
10,"cancel, cancel order button, business malpractice, purchase vehicle, carvana",0.4461-0.4431-0.4343-0.3872-0.3507,2.06
11,"carvana service company silver rock, company silver rock, company silver, silver rock, silver",0.6293-0.4074-0.3957-0.3775-0.3517,2.16
12,"contract cell phone bill, contract phone service, phone bill, contract, cell phone bill",0.5595-0.5203-0.3957-0.3954-0.3744,2.25
13,"carvana fix, issue carvana, cosmetics issues, warranty, contacted carvana",0.4533-0.4339-0.4248-0.403-0.3798,2.09
14,"extended warranty, warranty, vehicle vehicle, vehicles, vehicle",0.5039-0.4624-0.3891-0.3515-0.3509,2.06
15,"temporary registration, title receipt, registration, state dmv, register",0.4633-0.4199-0.4001-0.3705-0.3603,2.01
16,"carvana license plate, front bumper, car carvana, bumper, license plate",0.5322-0.466-0.4406-0.4255-0.409,2.27
17,"registration paperwork, registration, purchased vehicle, new paperwork, vehicle carvana",0.57-0.4982-0.4894-0.4364-0.4363,2.43
18,"transaction approval, insurance policy, temporary license, insurance, refund",0.408-0.3893-0.3617-0.3428-0.3252,1.83
19,"structural damage, damage, refund, cosmetic, car delivered",0.4969-0.3857-0.3506-0.3462-0.3283,1.91
20,"refund, refunded, refundable shipping fee, contacted carvana, refundable shipping",0.4263-0.4238-0.4171-0.4128-0.4048,2.08
21,"financing, water pump, pump, bank, repair job",0.4146-0.3965-0.3565-0.3289-0.3049,1.8
22,"day delivery, delivery, purchased vehicle, vehicle online, delivery fees",0.4602-0.4206-0.4121-0.41-0.4067,2.11
23,"refund, legal address, car yesterday, car, wrecked car",0.4281-0.3126-0.2705-0.2664-0.2648,1.54
24,"carvana customer service, carvana customer, car purchase, draft agreement, purchase agreement",0.4714-0.4451-0.4295-0.4217-0.4122,2.18
25,"car care warranty, purchase car, vehicle carvana, purchased vehicle, lemon car",0.563-0.5109-0.476-0.4662-0.4427,2.46
26,"car online, downpayment, transaction, online carvana, payment",0.4306-0.4286-0.3985-0.3814-0.3736,2.01
27,"paperwork carvana, vehicle carvana, registration paperwork, correct paperwork, purchased vehicle",0.588-0.4987-0.4736-0.4338-0.418,2.41
28,"purchased vehicle, vehicle online, full refund asap, online carvana, refund",0.5201-0.4826-0.475-0.4727-0.423,2.37
29,"car carvana, carvana confirming, ev tax credit, carvana, car",0.5924-0.5849-0.5844-0.5097-0.2741,2.55
30,"carvana database, personal information, carvana, social security number, data breaches",0.4438-0.4087-0.3763-0.3489-0.3344,1.91
31,"purchase carvana, carvana, carvana still, refunded, order car",0.5755-0.4402-0.4313-0.3892-0.3623,2.2
32,"carvana customer service, carvana customer service representatives, carvana customer, car carvana, purchase car",0.5376-0.5166-0.5116-0.4307-0.4183,2.41
33,"new contract, contract, s600 maybach, s560 trade, contracts",0.443-0.3936-0.3789-0.3639-0.3539,1.93
34,"return policy, day return policy, paint chips, car delivered, paint",0.4126-0.3821-0.3806-0.3345-0.3309,1.84
35,"payoff, day payoff, actual payoff, payment, back money",0.3964-0.3904-0.3819-0.3538-0.3064,1.83
36,"lower delivery fee, nonrefundable delivery fee, delivery fee, new contract carvana, actual mileage",0.4827-0.4783-0.4521-0.4517-0.442,2.31
37,"vehicle carvana, purchased vehicle, carvana, vehicle, dealership",0.6494-0.5387-0.5326-0.4413-0.4322,2.59
38,"lemon car, lemon, ac, company, car",0.5381-0.415-0.339-0.2669-0.2619,1.82
39,"payment, dollar payment, refuse, back, us",0.4535-0.4033-0.2983-0.2097-0.209,1.57
