,keyword,importance
5664,car,11462
12504,carvana,10185
15032,vehicle,7490
1873,get,2975
10233,back,2618
6447,purchased,2430
1233,time,2147
12512,registration,2111
5284,delivery,2077
14988,days,2055
2619,day,2050
23989,received,1794
21013,purchase,1751
6847,still,1605
16786,call,1497
6834,one,1462
18115,issue,1420
16672,check,1386
0,title,1354
19295,warranty,1321
18851,new,1306
12081,company,1305
19606,payment,1283
21944,issues,1279
3480,money,1265
13899,delivered,1135
5758,work,1133
20840,pay,1070
9637,sent,1062
9433,due,1037
17489,date,1034
2571,need,1017
6064,drive,1017
9360,process,997
2688,inspection,985
6845,months,972
9659,times,930
5451,asked,910
7362,refund,905
1493,temporary,877
10343,account,875
9920,service,867
6012,got,861
9473,order,850
7318,information,844
9038,customer,835
24227,return,832
24137,insurance,826
6628,weeks,826
10319,carcarvana,813
14375,plates,807
1735,paperwork,804
9782,needed,785
14172,repair,773
16622,week,769
8644,first,753
15610,help,736
18487,email,726
5636,able,725
3590,hours,723
18884,engine,717
19985,business,714
17074,go,695
5865,contract,695
20195,us,692
9452,bank,687
2666,shop,669
17545,phone,668
7889,expired,663
10063,pick,660
12781,today,653
4442,put,652
3126,ca,651
6455,nothing,650
1195,point,638
22777,purchasedvehicle,633
21274,may,628
16112,month,624
8595,state,623
21275,tag,622
15658,shipping,599
11680,loan,599
5225,vehiclecarvana,594
12918,tags,587
5437,well,585
1368,yet,573
22647,way,569
11578,getting,563
5361,make,560
6905,trade,559
14914,know,559
14220,send,545
7659,fee,535
599,keep,527
22921,documents,521
17266,around,518
10985,problem,515
11068,credit,513
1719,fix,504
15109,customerservice,501
14252,contact,501
22793,plate,496
9548,tires,495
21738,anything,495
4715,fixed,495
13235,damage,494
14460,repairs,491
12681,delayed,483
7356,see,481
23726,dealership,481
16718,rock,477
10278,everything,474
13758,provide,471
20913,miles,470
19992,silver,469
14480,found,463
12296,however,455
21798,spoke,454
19589,website,452
8876,license,450
5441,cost,448
11850,silverrock,448
24144,july,447
9236,june,446
16645,approved,445
19266,someone,444
12340,truck,441
10104,claim,440
11145,provided,431
12204,amount,428
3377,tell,423
337,text,419
17538,light,417
16496,cover,410
22193,oil,407
23489,rental,407
20318,promised,401
12823,wrong,391
22934,register,391
5292,bad,390
8837,cars,387
144,april,385
23116,right,385
2187,finally,384
11576,waiting,384
14577,contactedcarvana,381
11103,online,379
14099,mechanic,379
7841,sale,375
20358,upon,372
13923,august,371
17393,replaced,369
2610,end,368
23746,payments,368
19154,complaint,367
8770,deliverydate,365
23007,original,364
974,refused,363
4725,wait,363
9227,delay,361
7544,driving,360
14180,temp,360
9982,paying,359
8016,immediately,359
21046,front,356
16741,picked,356
