,keyword,importance
8774,car,6259
12571,carvana,3716
5728,vehicle,2381
235,would,2017
400,get,1722
1954,delivery,1574
13286,time,1281
4906,day,1202
8909,back,1122
4109,days,1057
837,could,1050
11353,one,1035
862,company,964
11380,never,913
6842,experience,902
787,purchase,870
1009,customer,816
2213,call,808
5793,process,790
277,service,774
12610,got,740
6736,new,692
6988,still,665
1191,go,620
13152,money,620
11658,take,610
2681,check,585
13488,buy,578
3161,first,569
8765,delivered,565
4667,customerservice,554
7669,work,552
5750,received,550
11525,issues,546
12898,date,526
14491,business,504
5669,ever,491
715,weeks,487
6749,hours,481
971,buying,480
12445,way,470
8854,warranty,466
8863,inspection,461
12733,registration,458
8440,times,434
10148,phone,426
14915,week,425
1312,everything,419
378,later,416
13332,order,415
13647,issue,413
12505,payment,408
2140,drive,406
2468,pay,399
5745,us,391
10632,months,389
5123,insurance,385
14226,nothing,383
2680,make,382
1066,trade,379
4325,dealership,377
5805,worst,377
1155,good,376
639,pick,375
3613,need,360
7890,ca,359
10599,asked,356
7285,point,345
3907,paperwork,344
5755,cars,335
6669,information,332
13352,well,328
6372,return,322
4613,next,322
122,great,319
6040,say,318
185,title,314
227,shop,311
8922,recommend,311
8379,delayed,308
4572,month,306
4289,bad,304
7387,people,301
12849,finally,299
4988,engine,298
3255,bank,291
9687,anything,291
1421,email,290
6414,want,288
1752,truck,288
4268,offer,287
735,use,284
12329,deliverydate,280
5072,account,280
2175,easy,280
10655,see,279
4930,care,272
3441,plates,268
3094,miles,266
4226,horrible,264
1264,deal,264
6066,waiting,261
14462,help,260
13321,person,259
9926,problem,251
12054,online,250
9614,last,250
13300,repair,250
5562,fix,248
8162,someone,246
1871,right,245
544,around,244
9253,much,242
7738,carcarvana,241
9939,driver,240
14029,anyone,239
13203,wait,238
3043,approved,236
11520,really,233
149,documents,232
10908,text,229
14846,saying,224
709,tires,224
2606,wrong,223
10131,sell,222
14858,send,220
3444,website,217
9284,refund,212
6518,second,208
2023,today,206
9878,loan,206
3464,end,206
2511,credit,203
12568,dealer,201
10881,light,201
9304,something,200
8097,purchasing,199
4449,yet,197
14319,home,196
9060,state,195
89,silver,195
12444,vehicles,194
7055,deliver,194
3275,appointment,193
7491,terrible,186
2772,many,186
2504,price,186
7040,hour,184
6161,front,184
14512,though,184
14565,rock,183
13178,spoke,182
10003,repairs,177
4929,delay,177
9468,thing,176
866,things,175
14113,silverrock,174
13335,rescheduled,173
10146,however,172
7719,left,171
12835,place,171
6661,mechanic,170
3256,oil,169
5628,start,169
1987,damage,168
14030,minutes,167
3198,pointinspection,166
8741,transmission,164
11567,rep,163
6339,calls,162
7616,fee,162
13835,set,161
90,license,160
9962,cover,159
10492,claim,159
3453,whole,158
3922,year,157
9404,shipping,157
8442,lot,156
5459,hold,156
1619,try,153
7438,problems,153
2941,actually,151
13674,absolutely,151
9994,tag,149
2267,cancel,147
2718,driving,147
3140,contact,146
5540,representative,144
5252,run,143
1275,carbuying,143
12295,nextday,142
10025,sale,141
14493,taken,140
232,scam,139
10875,cost,138
4099,part,138
1483,number,138
11680,address,137
511,stars,137
14175,please,137
12161,thought,137
9244,customers,136
9602,look,136
9403,tags,135
2024,contract,135
11798,change,135
10059,newcar,134
11488,amount,133
12789,silverrock,131
7875,tire,131
7012,pickup,130
13549,location,130
13950,name,130
7338,financing,130
14138,prior,129
3098,manager,128
2463,rental,128
12953,reason,126
2203,buyingexperience,124
13982,nightmare,123
888,talk,122
3032,selling,122
10699,brakes,122
13599,ask,122
1960,available,120
2572,best,119
1468,system,119
5415,review,119
7074,original,118
14712,provide,118
11146,beware,117
1686,completely,117
8422,advocate,115
1942,worstexperience,115
2450,feel,115
12629,third,113
9382,zero,113
14900,may,113
3431,worth,112
7944,ended,111
8290,test,109
4835,situation,109
774,top,108
4986,covered,108
3775,reviews,107
1204,jeep,107
2589,answer,106
5816,life,105
9459,immediately,105
5477,star,104
3535,drove,104
3627,vehiclecarvana,104
5795,policy,103
11456,battery,103
5764,low,103
6514,plate,103
4418,showed,101
3465,supervisor,100
4309,believe,100
8490,extremely,100
8279,swap,100
8067,temp,100
14748,leave,99
10651,paint,99
5207,needs,99
12868,july,98
13388,side,98
6895,half,98
13393,carbuyingexperience,97
14102,mileage,97
4446,show,97
11113,daydelivery,96
13951,period,96
5761,little,96
1632,everyone,96
10475,miles,96
12200,joke,96
11381,sorry,95
7152,miles,95
10035,avoid,95
5844,ok,95
7398,making,94
1853,couple,94
13379,disappointed,94
13305,waste,94
8970,taking,94
9626,upon,93
6288,rd,93
2131,hard,93
8796,agent,92
12170,dropped,92
3610,verify,92
2031,fine,91
3752,years,91
2984,line,90
1386,dealing,90
10792,transaction,90
2522,brake,90
9350,guy,89
14077,option,89
11014,definitely,89
2978,charge,88
10739,morning,88
7235,dollars,87
10283,enginelight,87
14414,total,87
11749,reschedule,87
240,purchasevehicle,87
6639,job,86
2676,love,86
13783,party,86
11275,mind,86
724,chat,86
14815,lie,86
617,replace,85
5684,husband,85
11569,team,85
7311,key,85
4323,wish,84
998,value,84
8359,lemon,84
4573,communication,84
3836,support,84
759,condition,83
