,year,count,complaint_type
0,2021,1,Billing Issues
1,2021,1,Customer Service Issues
2,2021,1,Delivery Issues
3,2021,1,Order Issues
4,2021,1,Product Issues
5,2021,1,Sales and Advertising Issues
6,2021,1,Service or Repair Issues
7,2021,2,Billing Issues
8,2021,2,Delivery Issues
9,2021,2,Order Issues
10,2021,2,Product Issues
11,2021,2,Sales and Advertising Issues
12,2021,2,Service or Repair Issues
13,2021,3,Product Issues
14,2021,3,Sales and Advertising Issues
15,2021,3,Service or Repair Issues
16,2021,4,Product Issues
17,2021,4,Sales and Advertising Issues
18,2021,4,Service or Repair Issues
19,2021,5,Service or Repair Issues
20,2021,6,Sales and Advertising Issues
21,2021,6,Service or Repair Issues
22,2021,7,Service or Repair Issues
23,2021,8,Service or Repair Issues
24,2021,9,Service or Repair Issues
25,2021,10,Service or Repair Issues
26,2022,1,Billing Issues
27,2022,1,Customer Service Issues
28,2022,1,Delivery Issues
29,2022,1,Order Issues
30,2022,1,Product Issues
31,2022,1,Sales and Advertising Issues
32,2022,1,Service or Repair Issues
33,2022,2,Delivery Issues
34,2022,2,Order Issues
35,2022,2,Product Issues
36,2022,2,Sales and Advertising Issues
37,2022,2,Service or Repair Issues
38,2022,3,Customer Service Issues
39,2022,3,Product Issues
40,2022,3,Sales and Advertising Issues
41,2022,3,Service or Repair Issues
42,2022,4,Service or Repair Issues
43,2022,5,Service or Repair Issues
44,2022,6,Service or Repair Issues
45,2022,7,Service or Repair Issues
46,2022,8,Service or Repair Issues
47,2022,9,Service or Repair Issues
48,2022,10,Service or Repair Issues
49,2023,1,Billing Issues
50,2023,1,Customer Service Issues
51,2023,1,Delivery Issues
52,2023,1,Order Issues
53,2023,1,Product Issues
54,2023,1,Sales and Advertising Issues
55,2023,1,Service or Repair Issues
56,2023,2,Billing Issues
57,2023,2,Delivery Issues
58,2023,2,Order Issues
59,2023,2,Product Issues
60,2023,2,Sales and Advertising Issues
61,2023,2,Service or Repair Issues
62,2023,3,Product Issues
63,2023,3,Sales and Advertising Issues
64,2023,3,Service or Repair Issues
65,2023,4,Service or Repair Issues
66,2023,5,Service or Repair Issues
67,2023,6,Service or Repair Issues
68,2023,7,Service or Repair Issues
69,2023,8,Service or Repair Issues
70,2024,1,Billing Issues
71,2024,1,Customer Service Issues
72,2024,1,Delivery Issues
73,2024,1,Order Issues
74,2024,1,Product Issues
75,2024,1,Sales and Advertising Issues
76,2024,1,Service or Repair Issues
77,2024,2,Billing Issues
78,2024,2,Delivery Issues
79,2024,2,Product Issues
80,2024,2,Sales and Advertising Issues
81,2024,2,Service or Repair Issues
82,2024,3,Product Issues
83,2024,3,Sales and Advertising Issues
84,2024,3,Service or Repair Issues
85,2024,4,Service or Repair Issues
86,2024,5,Service or Repair Issues
87,2024,6,Service or Repair Issues
88,2024,7,Service or Repair Issues
89,2024,11,Service or Repair Issues
