,year,date,year_month,count
0,2021,2021-07-22,07/2021,8
1,2021,2021-07-23,07/2021,6
2,2021,2021-07-24,07/2021,6
3,2021,2021-07-25,07/2021,4
4,2021,2021-07-26,07/2021,11
5,2021,2021-07-27,07/2021,9
6,2021,2021-07-28,07/2021,7
7,2021,2021-07-29,07/2021,5
8,2021,2021-07-30,07/2021,4
9,2021,2021-07-31,07/2021,4
10,2021,2021-08-01,08/2021,10
11,2021,2021-08-02,08/2021,8
12,2021,2021-08-03,08/2021,5
13,2021,2021-08-04,08/2021,3
14,2021,2021-08-05,08/2021,8
15,2021,2021-08-06,08/2021,10
16,2021,2021-08-07,08/2021,9
17,2021,2021-08-08,08/2021,3
18,2021,2021-08-09,08/2021,5
19,2021,2021-08-10,08/2021,8
20,2021,2021-08-11,08/2021,13
21,2021,2021-08-12,08/2021,10
22,2021,2021-08-13,08/2021,4
23,2021,2021-08-14,08/2021,9
24,2021,2021-08-15,08/2021,9
25,2021,2021-08-16,08/2021,4
26,2021,2021-08-17,08/2021,6
27,2021,2021-08-18,08/2021,7
28,2021,2021-08-19,08/2021,8
29,2021,2021-08-20,08/2021,11
30,2021,2021-08-21,08/2021,6
31,2021,2021-08-22,08/2021,8
32,2021,2021-08-23,08/2021,9
33,2021,2021-08-24,08/2021,7
34,2021,2021-08-25,08/2021,10
35,2021,2021-08-26,08/2021,4
36,2021,2021-08-27,08/2021,6
37,2021,2021-08-28,08/2021,3
38,2021,2021-08-29,08/2021,5
39,2021,2021-08-30,08/2021,14
40,2021,2021-08-31,08/2021,18
41,2021,2021-09-01,09/2021,5
42,2021,2021-09-02,09/2021,11
43,2021,2021-09-03,09/2021,10
44,2021,2021-09-04,09/2021,7
45,2021,2021-09-05,09/2021,4
46,2021,2021-09-06,09/2021,10
47,2021,2021-09-07,09/2021,12
48,2021,2021-09-08,09/2021,11
49,2021,2021-09-09,09/2021,14
50,2021,2021-09-10,09/2021,8
51,2021,2021-09-11,09/2021,6
52,2021,2021-09-12,09/2021,6
53,2021,2021-09-13,09/2021,14
54,2021,2021-09-14,09/2021,16
55,2021,2021-09-15,09/2021,10
56,2021,2021-09-16,09/2021,21
57,2021,2021-09-17,09/2021,3
58,2021,2021-09-18,09/2021,7
